scenarioId,feedbackId,feedbackKind,stateLineChinese,castSkillLineChinese,floatingTextChinese,combatLogLineChinese,sourceDataPath,developerDataPanelFieldKey,placedItemSnapshotCount,activeSynergyCount,modifierBundleCount,effectEventCount,bossReadinessCount,readyBossCount,playerSideAnswerLeak,formalFlowLeak
sample_v04_sandbox_board,shapeBuild.vertical_defense_wall,bossState,首领：攻势被护阵压住,防线收紧,护阵成墙,【阵势】护阵连成墙，首领攻势变缓。,BattleSandboxShapeBuildRulePreview.currentV04Board.shapeBuildRules.vertical_defense_wall,vertical_defense_wall,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,shapeBuild.corner_cleanse_array,mechanicFeedback,机制反馈：浊气被拐角导开,净化回响,污痕退散,【机制】拐角处亮起净化回响。,BattleSandboxShapeBuildRulePreview.currentV04Board.shapeBuildRules.corner_cleanse_array,corner_cleanse_array,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,shapeBuild.furnace_core_array,weaknessWindow,首领：炉芯光势正在聚拢,炉芯聚光,炉芯回响,【核心】符光贴近炉芯，场上节奏变稳。,BattleSandboxShapeBuildRulePreview.currentV04Board.shapeBuildRules.furnace_core_array,furnace_core_array,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,shapeBuild.thunder_fire_cross_array,bossSkillCast,首领：爆发窗口被逼出,雷火交错,雷火交响,【输出】雷火相邻，压制感增强。,BattleSandboxShapeBuildRulePreview.currentV04Board.shapeBuildRules.thunder_fire_cross_array,thunder_fire_cross_array,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,buildCombat.boardState,bossState,首领：护势出现破绽,首领正在蓄力,阵势回响,【状态】护势开始松动,BuildSandboxBuildCombatPreview.currentV04Board.layoutSnapshot,requiredStats,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,buildCombat.castPreview,bossSkillCast,首领：准备重压阵线,施法中：压阵冲击,施法预兆,【施法】压阵即将落下,BuildSandboxBuildCombatPreview.currentV04Board.modifierBundle,requiredSynergy,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,buildCombat.mechanicFeedback,mechanicFeedback,机制反馈：符位产生回响,机制变化,护势裂开,【机制】只显示场上现象,BuildSandboxBuildCombatPreview.currentV04Board.synergyModifierReadiness,hardSolutionTags,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,buildCombat.readinessFeedback,weaknessWindow,首领：破绽窗口出现,破绽窗口,护势裂开,【破绽】抓住短暂节奏,BuildSandboxBuildCombatPreview.currentV04Board.problemReadiness,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_shield_jinglei,bossState,首领：首领气息翻涌,首领正在蓄力,首领气息翻涌,【状态】首领气息翻涌，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_swarm_lihuo,bossState,首领：护盾正在变厚,首领正在蓄力,护盾正在变厚,【状态】护盾正在变厚，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_burst_huzhen,bossState,首领：阵眼开始发亮,首领正在蓄力,阵眼开始发亮,【状态】阵眼开始发亮，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_debuff_jinge,bossState,首领：怒意正在升高,首领正在蓄力,怒意正在升高,【状态】怒意正在升高，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_caster_zhenhun,bossState,首领：灵压逼近边线,首领正在蓄力,灵压逼近边线,【状态】灵压逼近边线，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_energy_juneng,bossState,首领：毒火绕场蔓延,首领正在蓄力,毒火绕场蔓延,【状态】毒火绕场蔓延，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossState.dev_boss_hybrid_combo,bossState,首领：召唤预兆出现,首领正在蓄力,召唤预兆出现,【状态】召唤预兆出现，注意下一次施法。,EnemyBossValidationPool.bosses,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossCast.dev_boss_black_furnace_shell,bossSkillCast,黑炉护壳师：正在准备技能,施法中：锁阵冲击,施法预兆,【施法】锁阵冲击 即将落下。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossCast.dev_boss_dirty_dream_mother,bossSkillCast,秽签梦母：正在准备技能,施法中：裂甲咒阵,施法预兆,【施法】裂甲咒阵 即将落下。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossCast.dev_boss_spirit_thief_core,bossSkillCast,偷灵炉心：正在准备技能,施法中：魂火压境,施法预兆,【施法】魂火压境 即将落下。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
sample_v04_sandbox_board,bossCast.dev_boss_bronze_formation_general,bossSkillCast,叩阵铜将：正在准备技能,施法中：封印阵眼,施法预兆,【施法】封印阵眼 即将落下。,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,7,3,20,26,6,5,False,False
