"nodeId","chapterId","stageRangeLabel","displayName","visualFamilyId","sharedAssetFamilyId","primaryVisualPurpose","battleActorSafeAreaRequirement","uiSafeAreaRequirement","contentStatus","devOnly","isEnabled","entersFormalFlow","formalRouteBound"
"bone_aspect_node_c1_01_ding_lane_outer","bone_aspect_chapter_1","1-1—1-3","青石坊丁巷外街","bone_aspect_visual_c1_bone_porcelain","bone_aspect_visual_c1_bone_porcelain","正常老街中出现第一点身份异常","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c1_02_bone_shop_outer_lane","bone_aspect_chapter_1","1-4—1-7","骨铺外巷","bone_aspect_visual_c1_bone_porcelain","bone_aspect_visual_c1_bone_porcelain","建立骨铺入口与骨瓷章节标志","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c1_03_bone_shop_inner_hall","bone_aspect_chapter_1","1-8—1-10","骨铺内堂","bone_aspect_visual_c1_bone_porcelain","bone_aspect_visual_c1_bone_porcelain","从现实老街进入规则明确的骨相交易空间","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c2_01_parking_entrance","bone_aspect_chapter_2","2-1—2-3","地下停车场入口","bone_aspect_visual_c2_contract_identity","bone_aspect_visual_c2_contract_identity","现代地下空间逐步显露反向交易规则","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c2_02_rakshasa_market_street","bone_aspect_chapter_2","2-4—2-7","罗刹海市内街","bone_aspect_visual_c2_contract_identity","bone_aspect_visual_c2_contract_identity","将身份和命运作为公开商品展示","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c2_03_bone_auction_hall","bone_aspect_chapter_2","2-8—2-10","骨相拍卖厅","bone_aspect_visual_c2_contract_identity","bone_aspect_visual_c2_contract_identity","将换骨推至公开竞价高潮","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c3_01_abandoned_mountain_path","bone_aspect_chapter_3","3-1—3-3","荒废山道","bone_aspect_visual_c3_array_stone_memory","bone_aspect_visual_c3_array_stone_memory","沿林照灯少年时期旧路进入旧案","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c3_02_collapsed_mountain_gate","bone_aspect_chapter_3","3-4—3-7","倒塌山门","bone_aspect_visual_c3_array_stone_memory","bone_aspect_visual_c3_array_stone_memory","建立明箓山规则压力与历史重量","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c3_03_memory_hall_array_eye","bone_aspect_chapter_3","3-8—3-10","记忆大殿·阵眼层","bone_aspect_visual_c3_array_stone_memory","bone_aspect_visual_c3_array_stone_memory","揭示骨相与明箓山旧阵的关系","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c4_01_sealed_ding_lane_defense","bone_aspect_chapter_4","4-1—4-3","封锁丁巷·街坊防线","bone_aspect_visual_c4_counterfeit_composite","bone_aspect_visual_c4_counterfeit_composite","让青石坊人情与群体压力同时出现","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c4_02_transformed_bone_shop","bone_aspect_chapter_4","4-4—4-7","异化骨铺","bone_aspect_visual_c4_counterfeit_composite","bone_aspect_visual_c4_counterfeit_composite","进入骨商真正控制的交易系统","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
"bone_aspect_node_c4_03_myriad_bone_belly","bone_aspect_chapter_4","4-8—4-10","万相骨腹","bone_aspect_visual_c4_counterfeit_composite","bone_aspect_visual_c4_counterfeit_composite","将空白骨片命题与最终冲突汇合","战斗角色主轮廓、机制标识与地面反馈必须无遮挡且保持高对比","顶部状态、左右操作、底部技能说明与字幕区域必须保持净空","CONTENT_NODE_LOCKED","true","false","false","false"
