itemId,chineseName,englishStableKey,itemFamily,baseItemId,v04AdvancedItemId,v04AdvancedChineseName,advancedRelationshipChinese,energyState,triggers,allowAffixSynergyBonus,efficiencyPercent,manaCost,enemyHpDamage,enemyShieldPressure,playerShieldGain,cleanseValue,controlValue,manaGain,sampleResultChinese,playerFeedbackChinese,combatLogChinese,developerFieldsHidden,touchesFormalFlow,touchesFormalSaveData,touchesFormalReward,touchesFormalDrop,devOnly,isEnabled,sourceDataPath
preview_stone_core,炉芯石,support_stone_core,furnace_core,,,,辅助 / 核心机制件，不是正式供能源,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，炉芯石沉寂。,【炉芯石】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_stone_core.None
preview_stone_core,炉芯石,support_stone_core,furnace_core,,,,辅助 / 核心机制件，不是正式供能源,WeakPulse,True,False,45,7,0,0,5,0,1,0,playerShieldGain=5;control=1,弱脉激活，炉芯石以 45% 效率触发基础反馈。,【炉芯石】炉芯石只做核心机制反馈，不作为 Powered provider。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_stone_core.WeakPulse
preview_stone_core,炉芯石,support_stone_core,furnace_core,,,,辅助 / 核心机制件，不是正式供能源,Powered,True,False,100,7,0,0,18,0,1,0,playerShieldGain=18;control=1,供能稳定，炉芯石完整触发。,【炉芯石】炉芯石只做核心机制反馈，不作为 Powered provider。完整生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_stone_core.Powered
preview_stone_core,炉芯石,support_stone_core,furnace_core,,,,辅助 / 核心机制件，不是正式供能源,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，炉芯石暂不触发。,【炉芯石】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_stone_core.Suppressed
preview_soul_seal,镇魂法印,advanced_soul_seal,soul_suppress_talisman,soul_suppress_talisman_basic,preview_soul_seal,镇魂法印,镇魂符 family 的进阶 / 分支,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，镇魂法印沉寂。,【镇魂法印】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_soul_seal.None
preview_soul_seal,镇魂法印,advanced_soul_seal,soul_suppress_talisman,soul_suppress_talisman_basic,preview_soul_seal,镇魂法印,镇魂符 family 的进阶 / 分支,WeakPulse,True,False,45,7,0,0,0,0,4,0,control=4,弱脉激活，镇魂法印以 45% 效率触发基础反馈。,【镇魂法印】镇魂法印扩展镇魂符的稳定与压制。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_soul_seal.WeakPulse
preview_soul_seal,镇魂法印,advanced_soul_seal,soul_suppress_talisman,soul_suppress_talisman_basic,preview_soul_seal,镇魂法印,镇魂符 family 的进阶 / 分支,Powered,True,True,100,7,0,0,0,0,8,0,control=8,供能稳定，镇魂法印完整触发。,【镇魂法印】镇魂法印扩展镇魂符的稳定与压制。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_soul_seal.Powered
preview_soul_seal,镇魂法印,advanced_soul_seal,soul_suppress_talisman,soul_suppress_talisman_basic,preview_soul_seal,镇魂法印,镇魂符 family 的进阶 / 分支,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，镇魂法印暂不触发。,【镇魂法印】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_soul_seal.Suppressed
preview_taomu_sword,桃木剑,advanced_taomu_sword,peach_wood,peach_wood_basic,preview_taomu_sword,桃木剑,桃木牌 family 的进阶 / 分支,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，桃木剑沉寂。,【桃木剑】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_taomu_sword.None
preview_taomu_sword,桃木剑,advanced_taomu_sword,peach_wood,peach_wood_basic,preview_taomu_sword,桃木剑,桃木牌 family 的进阶 / 分支,WeakPulse,True,False,45,9,13,4,5,0,1,0,enemyHpDamage=13;enemyShieldPressure=4;playerShieldGain=5;control=1,弱脉激活，桃木剑以 45% 效率触发基础反馈。,【桃木剑】桃木剑把桃木牌防护扩展为破邪输出。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_taomu_sword.WeakPulse
preview_taomu_sword,桃木剑,advanced_taomu_sword,peach_wood,peach_wood_basic,preview_taomu_sword,桃木剑,桃木牌 family 的进阶 / 分支,Powered,True,True,100,9,30,8,12,0,2,0,enemyHpDamage=30;enemyShieldPressure=8;playerShieldGain=12;control=2,供能稳定，桃木剑完整触发。,【桃木剑】桃木剑把桃木牌防护扩展为破邪输出。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_taomu_sword.Powered
preview_taomu_sword,桃木剑,advanced_taomu_sword,peach_wood,peach_wood_basic,preview_taomu_sword,桃木剑,桃木牌 family 的进阶 / 分支,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，桃木剑暂不触发。,【桃木剑】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_taomu_sword.Suppressed
preview_cleanse_corner,净化折符,advanced_cleanse_corner,purify_talisman,purify_talisman_basic,preview_cleanse_corner,净化折符,净化符 family 的进阶 / 分支,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，净化折符沉寂。,【净化折符】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_cleanse_corner.None
preview_cleanse_corner,净化折符,advanced_cleanse_corner,purify_talisman,purify_talisman_basic,preview_cleanse_corner,净化折符,净化符 family 的进阶 / 分支,WeakPulse,True,False,45,5,0,0,0,3,0,0,cleanse=3,弱脉激活，净化折符以 45% 效率触发基础反馈。,【净化折符】净化折符扩展净化符的形状与净化反馈。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_cleanse_corner.WeakPulse
preview_cleanse_corner,净化折符,advanced_cleanse_corner,purify_talisman,purify_talisman_basic,preview_cleanse_corner,净化折符,净化符 family 的进阶 / 分支,Powered,True,True,100,5,0,0,0,6,0,0,cleanse=6,供能稳定，净化折符完整触发。,【净化折符】净化折符扩展净化符的形状与净化反馈。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_cleanse_corner.Powered
preview_cleanse_corner,净化折符,advanced_cleanse_corner,purify_talisman,purify_talisman_basic,preview_cleanse_corner,净化折符,净化符 family 的进阶 / 分支,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，净化折符暂不触发。,【净化折符】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_cleanse_corner.Suppressed
preview_old_bell,镇邪铃,advanced_old_bell,exorcism_bell,exorcism_bell_basic,preview_old_bell,镇邪铃,驱邪铃 family 的进阶 / 分支,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，镇邪铃沉寂。,【镇邪铃】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_old_bell.None
preview_old_bell,镇邪铃,advanced_old_bell,exorcism_bell,exorcism_bell_basic,preview_old_bell,镇邪铃,驱邪铃 family 的进阶 / 分支,WeakPulse,True,False,45,6,0,0,0,1,3,0,cleanse=1;control=3,弱脉激活，镇邪铃以 45% 效率触发基础反馈。,【镇邪铃】镇邪铃扩展驱邪铃的镇邪压制。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_old_bell.WeakPulse
preview_old_bell,镇邪铃,advanced_old_bell,exorcism_bell,exorcism_bell_basic,preview_old_bell,镇邪铃,驱邪铃 family 的进阶 / 分支,Powered,True,True,100,6,0,0,0,3,7,0,cleanse=3;control=7,供能稳定，镇邪铃完整触发。,【镇邪铃】镇邪铃扩展驱邪铃的镇邪压制。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_old_bell.Powered
preview_old_bell,镇邪铃,advanced_old_bell,exorcism_bell,exorcism_bell_basic,preview_old_bell,镇邪铃,驱邪铃 family 的进阶 / 分支,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，镇邪铃暂不触发。,【镇邪铃】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_old_bell.Suppressed
preview_x2_wood_talisman,护阵木牌,support_wood_talisman,guardian_ward,shield_talisman_basic,preview_x2_wood_talisman,护阵木牌,护身符 / 护阵 family 的支援扩展,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，护阵木牌沉寂。,【护阵木牌】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_wood_talisman.None
preview_x2_wood_talisman,护阵木牌,support_wood_talisman,guardian_ward,shield_talisman_basic,preview_x2_wood_talisman,护阵木牌,护身符 / 护阵 family 的支援扩展,WeakPulse,True,False,45,4,0,0,5,0,0,0,playerShieldGain=5,弱脉激活，护阵木牌以 45% 效率触发基础反馈。,【护阵木牌】护阵木牌扩展基础护阵。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_wood_talisman.WeakPulse
preview_x2_wood_talisman,护阵木牌,support_wood_talisman,guardian_ward,shield_talisman_basic,preview_x2_wood_talisman,护阵木牌,护身符 / 护阵 family 的支援扩展,Powered,True,True,100,4,0,0,15,0,0,0,playerShieldGain=15,供能稳定，护阵木牌完整触发。,【护阵木牌】护阵木牌扩展基础护阵。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_wood_talisman.Powered
preview_x2_wood_talisman,护阵木牌,support_wood_talisman,guardian_ward,shield_talisman_basic,preview_x2_wood_talisman,护阵木牌,护身符 / 护阵 family 的支援扩展,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，护阵木牌暂不触发。,【护阵木牌】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_wood_talisman.Suppressed
preview_guard_wood,守护木牌,support_guard_wood,guardian_ward,shield_talisman_basic,preview_guard_wood,守护木牌,护身符 / 护阵 family 的支援扩展,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，守护木牌沉寂。,【守护木牌】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_guard_wood.None
preview_guard_wood,守护木牌,support_guard_wood,guardian_ward,shield_talisman_basic,preview_guard_wood,守护木牌,护身符 / 护阵 family 的支援扩展,WeakPulse,True,False,45,4,0,0,5,0,0,0,playerShieldGain=5,弱脉激活，守护木牌以 45% 效率触发基础反馈。,【守护木牌】守护木牌扩展基础防御。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_guard_wood.WeakPulse
preview_guard_wood,守护木牌,support_guard_wood,guardian_ward,shield_talisman_basic,preview_guard_wood,守护木牌,护身符 / 护阵 family 的支援扩展,Powered,True,True,100,4,0,0,15,0,0,0,playerShieldGain=15,供能稳定，守护木牌完整触发。,【守护木牌】守护木牌扩展基础防御。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_guard_wood.Powered
preview_guard_wood,守护木牌,support_guard_wood,guardian_ward,shield_talisman_basic,preview_guard_wood,守护木牌,护身符 / 护阵 family 的支援扩展,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，守护木牌暂不触发。,【守护木牌】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_guard_wood.Suppressed
preview_energy_incense,醒符香,support_energy_incense,awakening_incense,,,,辅助 / 节奏件，不是正式供能源,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，醒符香沉寂。,【醒符香】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_energy_incense.None
preview_energy_incense,醒符香,support_energy_incense,awakening_incense,,,,辅助 / 节奏件，不是正式供能源,WeakPulse,True,False,45,0,0,0,0,0,0,0,feedback_only,弱脉激活，醒符香以 45% 效率触发基础反馈。,【醒符香】醒符香只提供节奏辅助反馈，不作为 Powered provider。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_energy_incense.WeakPulse
preview_energy_incense,醒符香,support_energy_incense,awakening_incense,,,,辅助 / 节奏件，不是正式供能源,Powered,True,False,100,0,0,0,0,0,0,0,feedback_only,供能稳定，醒符香完整触发。,【醒符香】醒符香只提供节奏辅助反馈，不作为 Powered provider。完整生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_energy_incense.Powered
preview_energy_incense,醒符香,support_energy_incense,awakening_incense,,,,辅助 / 节奏件，不是正式供能源,Suppressed,False,False,0,0,0,0,0,0,0,0,no_trigger,供能被压制，醒符香暂不触发。,【醒符香】供能被压制，本次不生效。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.support_energy_incense.Suppressed
preview_fire_talisman,炽火符,advanced_fire_talisman,fire_talisman,fire_talisman_basic,preview_fire_talisman,炽火符,火符 family 的进阶 / 分支,None,False,False,0,0,0,0,0,0,0,0,no_trigger,未接入供能，炽火符沉寂。,【炽火符】未接入供能，本次沉寂。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_fire_talisman.None
preview_fire_talisman,炽火符,advanced_fire_talisman,fire_talisman,fire_talisman_basic,preview_fire_talisman,炽火符,火符 family 的进阶 / 分支,WeakPulse,True,False,45,6,9,0,0,0,0,0,enemyHpDamage=9,弱脉激活，炽火符以 45% 效率触发基础反馈。,【炽火符】炽火符扩展火符基础火伤节奏。弱脉生效，效率 45%。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_fire_talisman.WeakPulse
preview_fire_talisman,炽火符,advanced_fire_talisman,fire_talisman,fire_talisman_basic,preview_fire_talisman,炽火符,火符 family 的进阶 / 分支,Powered,True,True,100,6,22,0,0,0,0,0,enemyHpDamage=22,供能稳定，炽火符完整触发。,【炽火符】炽火符扩展火符基础火伤节奏。完整生效，并允许词条 / 羁绊增益。,True,False,False,False,False,True,False,LegacyItemBehaviorIntegrationCatalog.advanced_fire_talisman.Powered
